trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
177,False,"{'a': 0.5, 'e': 0.17033298882540943}",25,17,17.69583321908105,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.5, 'e': 0.1686381472685955}",20,14,9.085720638591665,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.5, 'e': 0.1669601696670407}",20,3,7.332928291409865,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
180,False,"{'a': 0.5, 'e': 0.16529888822158653}",20,9,18.558908644655993,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.5, 'e': 0.16365413680270405}",30,0,-5.685279513465385,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
182,False,"{'a': 0.5, 'e': 0.16202575093388075}",25,7,-3.797209905711902,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 0}",1
183,False,"{'a': 0.5, 'e': 0.16041356777517274}",30,20,10.274758574653852,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
184,False,"{'a': 0.5, 'e': 0.15881742610692068}",30,15,-10.739944507082399,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
185,False,"{'a': 0.5, 'e': 0.1572371663136276}",20,3,-4.260286795540293,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 0}",1
186,False,"{'a': 0.5, 'e': 0.1556726303679973}",30,23,15.065499518738616,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
187,False,"{'a': 0.5, 'e': 0.1541236618151314}",20,2,-34.70874451330276,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 1}",1
188,False,"{'a': 0.5, 'e': 0.15259010575688386}",20,0,13.634790278250875,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
189,False,"{'a': 0.5, 'e': 0.15107180883637084}",25,16,-1.5598991460860032,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
190,False,"{'a': 0.5, 'e': 0.14956861922263504}",25,17,16.243548050036445,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.5, 'e': 0.14808038659546244}",20,0,-8.795347811561518,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",1
192,False,"{'a': 0.5, 'e': 0.14660696213035015}",25,6,28.35682814390663,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
193,False,"{'a': 0.5, 'e': 0.14514819848362373}",25,13,-0.6404874894040817,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
194,False,"{'a': 0.5, 'e': 0.14370394977770293}",25,14,-1.7187513202844018,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 0}",1
195,False,"{'a': 0.5, 'e': 0.1422740715865136}",20,6,19.473239007065906,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
196,False,"{'a': 0.5, 'e': 0.140858420921045}",35,1,18.50694284817625,"{0: 32, 1: 0, 2: 1, 3: 1, 4: 0}",1
197,False,"{'a': 0.5, 'e': 0.13945685621505094}",20,0,27.221707198139693,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
